data;temp;
2021-12-03;23.6;
2021-12-04;24.1;
2021-12-05;25.6;
2021-12-06;22.7;
2021-12-07;20.9;
2021-12-08;20.6;
2021-12-09;22;
2021-12-10;24.1;
2021-12-11;24.8;
2021-12-12;23.7;
2021-12-13;25.8;
2021-12-14;25;
2021-12-15;26.2;
2021-12-16;27.2;
2021-12-17;26.5;
2021-12-18;26.5;
2021-12-19;25.3;
2021-12-20;25.5;
2021-12-21;26.6;
2021-12-22;26.5;
2021-12-23;22.8;
2021-12-24;23.8;
2021-12-25;25.4;
2021-12-26;27.1;
2021-12-27;26.7;
2021-12-28;26.9;
2021-12-29;25.4;
2021-12-30;22.3;
2021-12-31;23.5;
2022-01-01;26.8;
2022-01-02;28.8;
2022-01-03;22.4;
2022-01-04;22.5;
2022-01-05;22.1;
2022-01-06;21.7;
2022-01-07;23.1;
2022-01-08;22.5;
2022-01-09;21.4;
2022-01-10;22.5;
2022-01-11;25.1;
2022-01-12;26.8;
2022-01-13;25.1;
2022-01-14;24.9;
2022-01-15;25.2;
2022-01-16;26.7;
2022-01-17;28.1;
2022-01-18;28;
2022-01-19;27.1;
2022-01-20;28.5;
2022-01-21;28.6;
2022-01-22;28.8;
2022-01-23;29.2;
2022-01-24;26.6;
2022-01-25;26.7;
2022-01-26;26;
2022-01-27;22.2;
2022-01-28;19.2;
2022-01-29;18.1;
2022-01-30;21.1;
2022-01-31;22.4;
2022-02-01;24.9;
2022-02-02;26.1;
2022-02-03;27.2;
2022-02-04;22.6;
2022-02-05;22.2;
2022-02-06;21.6;
2022-02-07;19.7;
2022-02-08;20.5;
2022-02-09;22.8;
2022-02-10;23.8;
2022-02-11;24.1;
2022-02-12;24.7;
2022-02-13;24.2;
2022-02-14;23.7;
2022-02-15;24.9;
2022-02-16;26.1;
2022-02-17;25.4;
2022-02-18;23.6;
2022-02-19;24.3;
2022-02-20;25.9;
2022-02-21;22.5;
2022-02-22;24.5;
2022-02-23;25.3;
2022-02-24;26.2;
2022-02-25;21.4;
2022-02-26;24.3;
2022-02-27;27.1;
2022-02-28;26.4;
2022-03-01;24;
2022-03-02;23.4;
2022-03-03;24.2;
2022-03-04;24.1;
2022-03-05;25.7;
2022-03-06;27.1;
2022-03-07;27.4;
2022-03-08;24.3;
2022-03-09;23.9;
2022-03-10;23.6;
2022-03-11;20.2;
2022-03-12;17.9;
2022-03-13;19.4;
2022-03-14;20.2;
2022-03-15;20.1;
2022-03-16;20.6;
2022-03-17;23.8;
2022-03-18;23.4;
2022-03-19;20.4;
2022-03-20;19.2;
2022-03-21;20.6;
2022-03-22;22.4;
2022-03-23;19.2;
2022-03-24;19;
2022-03-25;17.2;
2022-03-26;17.5;
2022-03-27;18.9;
2022-03-28;20.7;
2022-03-29;24.2;
2022-03-30;19.4;
2022-03-31;13.2;
2022-04-01;14.5;
2022-04-02;18.2;
2022-04-03;19.4;
2022-04-04;19.7;
2022-04-05;20.1;
2022-04-06;21.9;
2022-04-07;19.7;
2022-04-08;19.4;
2022-04-09;19.4;
2022-04-10;18.8;
2022-04-11;19;
2022-04-12;18.9;
2022-04-13;20.5;
2022-04-14;17.4;
2022-04-15;14.1;
2022-04-16;15.4;
2022-04-17;16.1;
2022-04-18;17.3;
2022-04-19;18;
2022-04-20;19;
2022-04-21;18;
2022-04-22;15.3;
2022-04-23;16.4;
2022-04-24;18.5;
2022-04-25;23.2;
2022-04-26;23.7;
2022-04-27;25.7;
2022-04-28;23.4;
2022-04-29;17.9;
2022-04-30;18.8;
2022-05-01;20.3;
2022-05-02;18.6;
2022-05-03;15.9;
2022-05-04;14.3;
2022-05-05;15.5;
2022-05-06;14.3;
2022-05-07;14.8;
2022-05-08;15.1;
2022-05-09;16.6;
2022-05-10;16.9;
2022-05-11;15.5;
2022-05-12;13.7;
2022-05-13;14.8;
2022-05-14;15.4;
2022-05-15;14.9;
2022-05-16;10.6;
2022-05-17;7.4;
2022-05-18;7.8;
2022-05-19;9.9;
2022-05-20;9.9;
2022-05-21;11.9;
2022-05-22;12.6;
2022-05-23;15.5;
2022-05-24;17.9;
2022-05-25;19.7;
2022-05-26;17.5;
2022-05-27;16.1;
2022-05-28;15.6;
2022-05-29;16.4;
